iso3,country,index,index_name,year,rank
TWN,Chinese Taipei,WCR,IMD World Competitiveness Ranking,2012-01-01,7
NLD,Netherlands,WCR,IMD World Competitiveness Ranking,2012-01-01,11
NOR,Norway,WCR,IMD World Competitiveness Ranking,2012-01-01,8
QAT,Qatar,WCR,IMD World Competitiveness Ranking,2012-01-01,10
NA,United States,WCR,IMD World Competitiveness Ranking,2012-01-01,2
AUS,Australia,WCR,IMD World Competitiveness Ranking,2012-01-01,15
CHN,China (People’s Republic of),WCR,IMD World Competitiveness Ranking,2012-01-01,23
FIN,Finland,WCR,IMD World Competitiveness Ranking,2012-01-01,17
ISL,Iceland,WCR,IMD World Competitiveness Ranking,2012-01-01,26
BEL,Belgium,WCR,IMD World Competitiveness Ranking,2012-01-01,25
CAN,Canada,WCR,IMD World Competitiveness Ranking,2012-01-01,6
KOR,South Korea,WCR,IMD World Competitiveness Ranking,2012-01-01,22
ISR,Israel,WCR,IMD World Competitiveness Ranking,2012-01-01,19
LUX,Luxembourg,WCR,IMD World Competitiveness Ranking,2012-01-01,12
DEU,Germany,WCR,IMD World Competitiveness Ranking,2012-01-01,9
THA,Thailand,WCR,IMD World Competitiveness Ranking,2012-01-01,30
AUT,Austria,WCR,IMD World Competitiveness Ranking,2012-01-01,21
IDN,Indonesia,WCR,IMD World Competitiveness Ranking,2012-01-01,42
GBR,United Kingdom,WCR,IMD World Competitiveness Ranking,2012-01-01,18
CZE,Czechia,WCR,IMD World Competitiveness Ranking,2012-01-01,33
LTU,Lithuania,WCR,IMD World Competitiveness Ranking,2012-01-01,36
FRA,France,WCR,IMD World Competitiveness Ranking,2012-01-01,29
NZL,New Zealand,WCR,IMD World Competitiveness Ranking,2012-01-01,24
EST,Estonia,WCR,IMD World Competitiveness Ranking,2012-01-01,31
MYS,Malaysia,WCR,IMD World Competitiveness Ranking,2012-01-01,14
KAZ,Kazakhstan,WCR,IMD World Competitiveness Ranking,2012-01-01,32
PRT,Portugal,WCR,IMD World Competitiveness Ranking,2012-01-01,41
JPN,Japan,WCR,IMD World Competitiveness Ranking,2012-01-01,27
IND,India,WCR,IMD World Competitiveness Ranking,2012-01-01,35
ESP,Spain,WCR,IMD World Competitiveness Ranking,2012-01-01,39
POL,Poland,WCR,IMD World Competitiveness Ranking,2012-01-01,34
ITA,Italy,WCR,IMD World Competitiveness Ranking,2012-01-01,40
CHL,Chile,WCR,IMD World Competitiveness Ranking,2012-01-01,28
SVN,Slovenia,WCR,IMD World Competitiveness Ranking,2012-01-01,51
GRC,Greece,WCR,IMD World Competitiveness Ranking,2012-01-01,58
JOR,Jordan,WCR,IMD World Competitiveness Ranking,2012-01-01,49
ROU,Romania,WCR,IMD World Competitiveness Ranking,2012-01-01,53
SGP,Singapore,WCR,IMD World Competitiveness Ranking,2017-01-01,3
CHE,Switzerland,WCR,IMD World Competitiveness Ranking,2017-01-01,2
DNK,Denmark,WCR,IMD World Competitiveness Ranking,2017-01-01,7
IRL,Ireland,WCR,IMD World Competitiveness Ranking,2017-01-01,6
HKG,Hong Kong,WCR,IMD World Competitiveness Ranking,2017-01-01,1
SWE,Sweden,WCR,IMD World Competitiveness Ranking,2017-01-01,9
ARE,United Arab Emirates,WCR,IMD World Competitiveness Ranking,2017-01-01,10
TWN,Chinese Taipei,WCR,IMD World Competitiveness Ranking,2017-01-01,14
NLD,Netherlands,WCR,IMD World Competitiveness Ranking,2017-01-01,5
NOR,Norway,WCR,IMD World Competitiveness Ranking,2017-01-01,11
QAT,Qatar,WCR,IMD World Competitiveness Ranking,2017-01-01,17
NA,United States,WCR,IMD World Competitiveness Ranking,2017-01-01,4
AUS,Australia,WCR,IMD World Competitiveness Ranking,2017-01-01,21
CHN,China (People’s Republic of),WCR,IMD World Competitiveness Ranking,2017-01-01,18
FIN,Finland,WCR,IMD World Competitiveness Ranking,2017-01-01,15
SAU,Saudi Arabia,WCR,IMD World Competitiveness Ranking,2017-01-01,36
ISL,Iceland,WCR,IMD World Competitiveness Ranking,2017-01-01,20
BEL,Belgium,WCR,IMD World Competitiveness Ranking,2017-01-01,23
CAN,Canada,WCR,IMD World Competitiveness Ranking,2017-01-01,12
KOR,South Korea,WCR,IMD World Competitiveness Ranking,2017-01-01,29
ISR,Israel,WCR,IMD World Competitiveness Ranking,2017-01-01,22
LUX,Luxembourg,WCR,IMD World Competitiveness Ranking,2017-01-01,8
DEU,Germany,WCR,IMD World Competitiveness Ranking,2017-01-01,13
THA,Thailand,WCR,IMD World Competitiveness Ranking,2017-01-01,27
AUT,Austria,WCR,IMD World Competitiveness Ranking,2017-01-01,25
IDN,Indonesia,WCR,IMD World Competitiveness Ranking,2017-01-01,42
