iso2,iso3,country,group,year,year_date,var,obs_value,var_code,var_long,var_axis
AL,ALB,Albania,Neighbouring,2022,2022-01-01,3.3.3,0.018428967,design_apps,Design applications,Design applications per billion GDP (in PPS)
AL,ALB,Albania,Neighbouring,2022,2022-01-01,4.1.2,43.26435797,innov_firm_emp,Employment in innovative enterprises,Employment in innovative enterprises
AL,ALB,Albania,Neighbouring,2022,2022-01-01,4.2.1,4.156074678,hi_tech_exports,Exports of medium and high technology products,Exports of medium and high technology products as a share of total products exports
AL,ALB,Albania,Neighbouring,2022,2022-01-01,4.2.2,26.8732,know_serv_exports,Knowledge-intensive services exports,Knowledge-intensive services exports as a share of total services exports
AL,ALB,Albania,Neighbouring,2022,2022-01-01,4.2.3,35.56514116,new_innov_sales,Sales of new-to-market and new-to-firm innovations,Sales of new-to-market and new-to-enterprise innovations as a percentage of turnover
AL,ALB,Albania,Neighbouring,2022,2022-01-01,4.3.1,1.2097,resource_prod,Resource productivity,Resource productivity (PPS per kg)
AL,ALB,Albania,Neighbouring,2022,2022-01-01,4.3.3,24.885,env_tech,Environment-related technologies,Development of environment-related technologies, percentage of all technologies
AL,ALB,Albania,Neighbouring,2023,2023-01-01,1.1.1,0.1,new_doc_grads,New doctorate graduates,New doctorate graduates in science, technology, engineering and mathematics (STEM) per 1000 population aged 25-34
AL,ALB,Albania,Neighbouring,2023,2023-01-01,1.1.2,41.25988654,tert_edu_pop,Population with tertiary education,Percentage population aged 25-34 having completed tertiary education
AL,ALB,Albania,Neighbouring,2023,2023-01-01,1.2.1,167.1682909,intl_sci_pubs,International scientific co-publications,International scientific co-publications per million population
AL,ALB,Albania,Neighbouring,2023,2023-01-01,1.2.2,5.603863331,top_cited_pubs,Scientific publications among the top 10% most cited,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country
AL,ALB,Albania,Neighbouring,2023,2023-01-01,1.2.3,10.95686663,for_doc_stud_pct,Foreign doctorate students as a % of all doctorate students,Foreign doctorate students as a percentage of all doctorate students
AL,ALB,Albania,Neighbouring,2023,2023-01-01,1.3.1,21.4,broadband_pen,Broadband penetration,Broadband penetration
AL,ALB,Albania,Neighbouring,2023,2023-01-01,2.2.2,0.044453022,non_rd_innov_exp,Non-R&D innovation expenditures,Non-R&D innovation expenditures (percentage of turnover)
AL,ALB,Albania,Neighbouring,2023,2023-01-01,2.3.2,0.885719127,ict_spec_emp,Employed ICT specialists,ICT specialists (percentage of total employment)
AL,ALB,Albania,Neighbouring,2023,2023-01-01,3.2.2,12.88663484,pub_priv_pubs,Public-private co-publications,Public-private publications per million population
AL,ALB,Albania,Neighbouring,2023,2023-01-01,3.3.1,0.110573804,pct_patents,PCT patent applications,PCT patent applications per billion GDP (in PPS)
AL,ALB,Albania,Neighbouring,2023,2023-01-01,3.3.2,0.458211268,trademark_apps,Trademark applications,Trademark applications per billion GDP (in PPS)
AL,ALB,Albania,Neighbouring,2023,2023-01-01,3.3.3,0,design_apps,Design applications,Design applications per billion GDP (in PPS)
AL,ALB,Albania,Neighbouring,2023,2023-01-01,4.2.1,5.171376379,hi_tech_exports,Exports of medium and high technology products,Exports of medium and high technology products as a share of total products exports
AL,ALB,Albania,Neighbouring,2023,2023-01-01,4.2.2,21.1978,know_serv_exports,Knowledge-intensive services exports,Knowledge-intensive services exports as a share of total services exports
AL,ALB,Albania,Neighbouring,2023,2023-01-01,4.3.1,1.3558,resource_prod,Resource productivity,Resource productivity (PPS per kg)
AL,ALB,Albania,Neighbouring,2023,2023-01-01,4.3.2,2394.331778,fine_particle_em,Air emissions by fine particulates,Air emissions by fine particulate matter (PM2.5) in industry
AL,ALB,Albania,Neighbouring,2023,2023-01-01,4.3.3,26.615,env_tech,Environment-related technologies,Development of environment-related technologies, percentage of all technologies
AL,ALB,Albania,Neighbouring,2024,2024-01-01,1.1.1,0.2,new_doc_grads,New doctorate graduates,New doctorate graduates in science, technology, engineering and mathematics (STEM) per 1000 population aged 25-34
AL,ALB,Albania,Neighbouring,2024,2024-01-01,1.2.1,155.6964065,intl_sci_pubs,International scientific co-publications,International scientific co-publications per million population
AL,ALB,Albania,Neighbouring,2024,2024-01-01,1.2.2,4.589397552,top_cited_pubs,Scientific publications among the top 10% most cited,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country
AL,ALB,Albania,Neighbouring,2024,2024-01-01,1.2.3,14.10714286,for_doc_stud_pct,Foreign doctorate students as a % of all doctorate students,Foreign doctorate students as a percentage of all doctorate students
AL,ALB,Albania,Neighbouring,2024,2024-01-01,1.3.2,7.77,adv_digi_skills,Individuals with above basic overall digital skills,Individuals who have above basic overall digital skills (share of population)
AL,ALB,Albania,Neighbouring,2024,2024-01-01,2.2.2,0.044453022,non_rd_innov_exp,Non-R&D innovation expenditures,Non-R&D innovation expenditures (percentage of turnover)
AL,ALB,Albania,Neighbouring,2024,2024-01-01,2.3.1,21.1,ict_train_ent,Enterprises providing ICT training,Enterprises providing training to develop or upgrade ICT skills of their personnel
AL,ALB,Albania,Neighbouring,2024,2024-01-01,3.2.2,13.75921732,pub_priv_pubs,Public-private co-publications,Public-private publications per million population
AL,ALB,Albania,Neighbouring,2024,2024-01-01,3.3.1,0.004022068,pct_patents,PCT patent applications,PCT patent applications per billion GDP (in PPS)
AL,ALB,Albania,Neighbouring,2024,2024-01-01,3.3.2,0.279996237,trademark_apps,Trademark applications,Trademark applications per billion GDP (in PPS)
AL,ALB,Albania,Neighbouring,2024,2024-01-01,3.3.3,0.416511714,design_apps,Design applications,Design applications per billion GDP (in PPS)
AL,ALB,Albania,Neighbouring,2024,2024-01-01,4.1.2,42.03630473,innov_firm_emp,Employment in innovative enterprises,Employment in innovative enterprises
AL,ALB,Albania,Neighbouring,2024,2024-01-01,4.2.2,18.5164,know_serv_exports,Knowledge-intensive services exports,Knowledge-intensive services exports as a share of total services exports
AL,ALB,Albania,Neighbouring,2024,2024-01-01,4.2.3,40.1007687,new_innov_sales,Sales of new-to-market and new-to-firm innovations,Sales of new-to-market and new-to-enterprise innovations as a percentage of turnover
AL,ALB,Albania,Neighbouring,2024,2024-01-01,4.3.1,1.432,resource_prod,Resource productivity,Resource productivity (PPS per kg)
AL,ALB,Albania,Neighbouring,2024,2024-01-01,4.3.2,2083.309877,fine_particle_em,Air emissions by fine particulates,Air emissions by fine particulate matter (PM2.5) in industry
AL,ALB,Albania,Neighbouring,2024,2024-01-01,4.3.3,28.63,env_tech,Environment-related technologies,Development of environment-related technologies, percentage of all technologies
AL,ALB,Albania,non-eu,2017,2017-01-01,1.,36.2,SII,Summary Innovation Index,Innovation Index Score of the European Innovation Scoreboard
AL,ALB,Albania,non-eu,2024,2024-01-01,1.,46,SII,Summary Innovation Index,Innovation Index Score of the European Innovation Scoreboard
AU,AUS,Australia,Global,2017,2017-01-01,1.1.1,1,new_doc_grads,New doctorate graduates,New doctorate graduates in science, technology, engineering and mathematics (STEM) per 1000 population aged 25-34
AU,AUS,Australia,Global,2017,2017-01-01,1.1.2,48.5,tert_edu_pop,Population with tertiary education,Percentage population aged 25-34 having completed tertiary education
AU,AUS,Australia,Global,2017,2017-01-01,1.2.1,1799.3,intl_sci_pubs,International scientific co-publications,International scientific co-publications per million population
AU,AUS,Australia,Global,2017,2017-01-01,1.2.2,13.6,top_cited_pubs,Scientific publications among the top 10% most cited,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country
AU,AUS,Australia,Global,2017,2017-01-01,2.1.1,0.8,pub_rd_exp,R&D expenditure in the public sector,R&D expenditure in the public sector (percentage of GDP)
AU,AUS,Australia,Global,2017,2017-01-01,2.1.3,0.2,gov_bus_rd_supp,Direct and indirect government support of business R&D,Direct government funding and government tax support for business R&D (percentage of GDP)
AU,AUS,Australia,Global,2017,2017-01-01,2.3.2,3.3,ict_spec_emp,Employed ICT specialists,ICT specialists (percentage of total employment)
